LocationID,VisitID,ID,CharacteristicID,ResultValue,Units,Qualifier,FlagID,MethodID,ResultComment,SampleDepth,UniqueID,Datetime,ProjectID,SampleTypeID,HasFlow,SampleDepthType,Comment,LocationDescription,WaterBodyID,MunicipalityID,Latitude,Longitude,LocationTypeID,LocationMethod,CoordinateSystem,InWatershed,RegionalID,WaterType,Owner,StaffGage,County,CatchmentArea_Sqmi
MWRA176,23123,351724,TEMP_WATER,17.49,deg C,NA,NA,86,NA,2.59,200710250923_MWRA176_CSORWM_B_S,2007-10-25T13:23:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,19087,361396,DO,8.87,mg/l,NA,NA,25,NA,0.1,200908111025_MWRA176_CSORWM_S_S,2009-08-11T14:25:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,19087,361397,TEMP_WATER,26.42,deg C,NA,NA,86,NA,0.1,200908111025_MWRA176_CSORWM_S_S,2009-08-11T14:25:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,19976,374106,DO,8.39,mg/l,NA,NA,25,NA,0.1,201108300922_MWRA176_CSORWM_S_S,2011-08-30T13:22:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,19087,361399,SECCHI,1.1,m,NA,NA,87,NA,NA,200908111025_MWRA176_CSORWM_S_S,2009-08-11T14:25:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,23732,369510,PH,6.67,NA,NA,NA,80,NA,3.5,201011101205_MWRA176_CSORWM_B_S,2010-11-10T17:05:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,17252,337194,ENT,10.0,CFU/100ml,<,NA,10,NA,0.1,200507130925_MWRA176_CSORWM_S_S,2005-07-13T13:25:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,23587,365595,SPCOND,4664.0,uS/cm,NA,NA,72,NA,2.84,201005270842_MWRA176_CSORWM_B_S,2010-05-27T12:42:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,19227,363313,ECOLI,135.0,MPN/100ml,NA,NA,5,NA,0.1,200910280917_MWRA176_CSORWM_S_S,2009-10-28T13:17:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,23068,350381,DO_SAT,8.6,%,NA,NA,25,NA,2.81,200708230909_MWRA176_CSORWM_B_S,2007-08-23T13:09:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,22563,336283,SPCOND,922.9,uS/cm,NA,NA,72,NA,2.67,200506020944_MWRA176_CSORWM_B_S,2005-06-02T13:44:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,22563,336284,SALINITY,0.48,PSU,NA,NA,70,NA,2.67,200506020944_MWRA176_CSORWM_B_S,2005-06-02T13:44:00Z,CSORWM,S,1,B,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MWRA176,19976,374114,ENT,30.0,MPN/100ml,NA,NA,11,NA,0.1,201108300922_MWRA176_CSORWM_S_S,2011-08-30T13:22:00Z,CSORWM,S,1,S,NA,"MALDEN RIVER, UPSTREAM OF RT 16 BRIDGE",Malden River,Everett,42.4053,-71.07191,22,unknown,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
